Feature,Attribute
miles,performance
make,design
price,pricing
drive,performance
warranty,reliability
power,performance
interior,design
looks,design
mpg,performance
midsize,design
value,pricing
performance,performance
transmission,performance
speed,performance
gas,performance
design,design
engines,design
features,design
mph,performance
steering,design
reliable,reliability
insurance,reliability
expensive,pricing
volume,design
stability,stability
cheaper,pricing
diesel,performance
suspension,performance
fast,performance
faster,performance
acceleration,performance
horsepower,performance
dollars,pricing
braking,performance
pricing,pricing
powerful,performance
throttle,performance
traction,performance
4cylinder,design
doors,design
tank,design
cyl,design
transmissions,performance
maintenance,Maintenance
style,style
rpm,performance
space,design
smooth,performance
economy,pricing
safety,safety
safe,safety
reliability,reliability
feel,style
designed,style
